Region,ID,H_Station,x,y
Amazon,H1133,AGUARICO EN NUEVA LO,-76.80805,0.04388889
Pacific,Pacific_01,AGUAS CALIENTES,-70.12,-17.85
Pacific,Pacific_02,BATAN,-79.29,-6.8
Pacific,Pacific_03,BELLA UNION,-74.63,-15.48
Amazon,10086800,BELLAVISTA,-73.07337,-3.48224
Amazon,10064000,BORJA,-77.54837,-4.47023
Amazon,230601,CHATUZA,-76.098611,-6.56944
Amazon,10068700,CHAZUTA,-76.11925,-6.57039
Pacific,Pacific_04,CHIVAYA,-70.832,-17.128
Pacific,Pacific_05,CHUCARAPI,-71.64,-16.99
Amazon,H1134,COCA EN SAN SEBASTIA,-77.00528,-0.3397222
Pacific,Pacific_06,CONDORCERRO,-78.25,-8.65
Pacific,Pacific_07,CONTA,-75.98,-13.45
Pacific,Pacific_08,HUACAPONGO,-78.67,-8.38
Pacific,Pacific_09,HUATIAPA,-72.47,-16
Amazon,10075500,IQUITOS ENAPU,-73.25,-3.71
Amazon,105,KM 105,-72.533,-13.1833
Pacific,Pacific_10,LA ACHIRANA,-75.6833333333333,-13.9666666666667
Amazon,10073500,LAGARTO,-73.87119,-10.60762
Pacific,Pacific_11,LARANCOCHA,-76.8,-11.68
Amazon,10221501,LOS NARANJOS,-78.43156,-5.755694
Amazon,H1135,NAPO EN FRANCISCO DE,-76.98917,-0.44111
Amazon,H1136,NAPO EN NUEVO ROCAFUERTE,-75.39611,-0.9166667
Amazon,221402,NAUTA,-73.5733,-4.50736
Amazon,10069800,NUEVA YORK,-74.29598,-4.31942
Amazon,10068500,PICOTA,-76.366666,-6.88333
Amazon,250303,PISAC,-71.841389,-13.427778
Pacific,Pacific_12,PTE DIABLO,-71.87,-16.42
Pacific,Pacific_13,PTE. ?'ACARA,-80.17,-5.11
Amazon,10074000,PUCALLPA,-74.53,-8.39
Pacific,Pacific_14,PUCHACA,-79.467,-6.38
Titicaca,210102,Puente Az?!ngaro,-70.189,-14.92
Pacific,Pacific_15,PUENTE CAMANA,-72.7333333333333,-16.6
Pacific,Pacific_16,PUENTE CARRETERA,-78.63,-8.97
Amazon,230503,PUENTE CUNYAC,-72.575,-13.562222
Pacific,Pacific_17,PUENTE HUAMBA,-77.867,-9.97
Titicaca,210201,Puente Huancan??,-69.793,-15.216
Titicaca,210301,Puente Ilave,-69.626,-16.088
Pacific,Pacific_18,PUENTE JAQUI,-74.45,-15.48
Titicaca,210405,Puente Mocayache? ,-70.209,-15.444
Titicaca,210101,Puente Ramis,-69.874,-15.256
Pacific,Pacific_19,PUENTE SANCHEZ CERRO,-80.617,-5.184
Amazon,10221809,PUENTE TARUCA,-76.15203,-9.850361
Amazon,230700,PUENTE TOCACHE,-76.507886,-8.18475
Titicaca,210407,Puente Unocolla,-70.191,-15.451
Amazon,10073750,PUERTO INCA,-74.96771,-9.38449
Amazon,15289500,PUERTO MALDONADO,-69.21455,-12.58383
Pacific,Pacific_20,QUIRIHUAC,-78.87,-8.08
Amazon,10074800,REQUENA,-73.83994,-5.04111
Pacific,Pacific_21,SALINAR,-78.97,-7.67
Pacific,Pacific_22,SAN JACINTO,-78.25,-9.16666666666667
Amazon,10070500,SAN REGIS,-73.9054,-4.51439
Amazon,10062800,SANTIAGO,-78.01306,-3.051
Pacific,Pacific_23,SANTO DOMINGO,-77.05,-11.38
Pacific,Pacific_24,SECTOR TUTUMA,-78.3,-9.48
Amazon,210006,SHANAO,-76.591805,-6.4238
Pacific,Pacific_25,SOCSI,-76.2,-13.03
Amazon,10075000,TAMSHIYACU,-73.16152,-4.00343
Amazon,221820,TINGO MARIA,-76.002069,-9.29601
Pacific,Pacific_26,YANAPAMPA,-77.58,-10.67
